GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2082140,*****
0400000US02,02,Alaska,274246,*****
0400000US04,04,Arizona,2544806,*****
0400000US05,05,Arkansas,1249116,*****
0400000US06,06,California,12989254,*****
0400000US08,08,Colorado,2053178,*****
0400000US09,09,Connecticut,1423343,*****
0400000US10,10,Delaware,374872,*****
0400000US11,11,District of Columbia,277775,*****
0400000US12,12,Florida,8256847,*****
0400000US13,13,Georgia,3771466,*****
0400000US15,15,Hawaii,491071,*****
0400000US16,16,Idaho,595572,*****
0400000US17,17,Illinois,5144623,*****
0400000US18,18,Indiana,2724429,*****
0400000US19,19,Iowa,1306943,*****
0400000US20,20,Kansas,1196211,*****
0400000US21,21,Kentucky,1865516,*****
0400000US22,22,Louisiana,1940399,*****
0400000US23,23,Maine,683799,*****
0400000US24,24,Maryland,2273793,*****
0400000US25,25,Massachusetts,2688014,*****
0400000US26,26,Michigan,4478507,*****
0400000US27,27,Minnesota,2252022,*****
0400000US28,28,Mississippi,1235496,*****
0400000US29,29,Missouri,2592809,*****
0400000US30,30,Montana,428357,*****
0400000US31,31,Nebraska,766951,*****
0400000US32,32,Nevada,1019427,*****
0400000US33,33,New Hampshire,583324,*****
0400000US34,34,New Jersey,3443981,*****
0400000US35,35,New Mexico,838668,*****
0400000US36,36,New York,7853020,*****
0400000US37,37,North Carolina,3940554,*****
0400000US38,38,North Dakota,304458,*****
0400000US39,39,Ohio,5007091,*****
0400000US40,40,Oklahoma,1588749,*****
0400000US41,41,Oregon,1558421,*****
0400000US42,42,Pennsylvania,5422362,*****
0400000US44,44,Rhode Island,447810,*****
0400000US45,45,South Carolina,1927864,*****
0400000US46,46,South Dakota,347931,*****
0400000US47,47,Tennessee,2637441,*****
0400000US48,48,Texas,9026011,*****
0400000US49,49,Utah,873097,*****
0400000US50,50,Vermont,307345,*****
0400000US51,51,Virginia,3174708,*****
0400000US53,53,Washington,2651645,*****
0400000US54,54,West Virginia,872203,*****
0400000US55,55,Wisconsin,2498500,*****
0400000US56,56,Wyoming,235721,*****
0400000US72,72,Puerto Rico,1440683,6489
