GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0400000US01,01,Alabama,2174428,364
0400000US02,02,Alaska,307065,243
0400000US04,04,Arizona,2846738,629
0400000US05,05,Arkansas,1317818,388
0400000US06,06,California,13682976,1131
0400000US08,08,Colorado,2214262,463
0400000US09,09,Connecticut,1488215,264
0400000US10,10,Delaware,406489,123
0400000US11,11,District of Columbia,296836,63
0400000US12,12,Florida,8994091,955
0400000US13,13,Georgia,4091482,577
0400000US15,15,Hawaii,519992,71
0400000US16,16,Idaho,668634,244
0400000US17,17,Illinois,5297077,938
0400000US18,18,Indiana,2797172,482
0400000US19,19,Iowa,1337563,361
0400000US20,20,Kansas,1234037,578
0400000US21,21,Kentucky,1928617,335
0400000US22,22,Louisiana,1967947,323
0400000US23,23,Maine,722217,148
0400000US24,24,Maryland,2380605,340
0400000US25,25,Massachusetts,2808727,486
0400000US26,26,Michigan,4531231,689
0400000US27,27,Minnesota,2348242,475
0400000US28,28,Mississippi,1276441,575
0400000US29,29,Missouri,2714017,363
0400000US30,30,Montana,483006,171
0400000US31,31,Nebraska,797677,347
0400000US32,32,Nevada,1175070,197
0400000US33,33,New Hampshire,614996,180
0400000US34,34,New Jersey,3554909,429
0400000US35,35,New Mexico,902242,374
0400000US36,36,New York,8108211,1124
0400000US37,37,North Carolina,4333479,1587
0400000US38,38,North Dakota,318099,364
0400000US39,39,Ohio,5128113,797
0400000US40,40,Oklahoma,1666205,288
0400000US41,41,Oregon,1676476,322
0400000US42,42,Pennsylvania,5568820,631
0400000US44,44,Rhode Island,463416,108
0400000US45,45,South Carolina,2140337,280
0400000US46,46,South Dakota,364031,713
0400000US47,47,Tennessee,2815087,513
0400000US48,48,Texas,9996209,964
0400000US49,49,Utah,981821,369
0400000US50,50,Vermont,322698,118
0400000US51,51,Virginia,3368674,1668
0400000US53,53,Washington,2888594,688
0400000US54,54,West Virginia,882213,182
0400000US55,55,Wisconsin,2625477,440
0400000US56,56,Wyoming,262286,109
0400000US72,72,Puerto Rico,1637216,7325
